// Quiz 01 — HTML & Basic CSS (Question Bank 2 for Pools)

NewQuestion,TF,,,
ID,WRIT40363-B2-015,,,
Title,Border-box reset,,,
QuestionText,Setting box-sizing: border-box; on * is a common reset pattern.,,,
Points,0,,,
Difficulty,1,,,
TRUE,100,,,
FALSE,0,,,
Hint,Normalize sizing behavior.,,,
Feedback,It makes width/height calculations more predictable.,,,

NewQuestion,SA,,,
ID,WRIT40363-B2-016,,,
Title,Margin vs padding,,,
QuestionText,Explain the difference between margin and padding.,,,
Points,0,,,
Difficulty,1,,,
InputBox,3,80,,
Answer,50,(outside|external).*border,regexp,
Answer,50,(inside|internal).*border,regexp,
Hint,Consider whether space is inside or outside the element’s border.,,,
Feedback,Margin is outside the border; padding is inside.,,,

NewQuestion,SA,,,
ID,WRIT40363-B2-017,,,
Title,When to use empty alt,,,
QuestionText,When is it appropriate to use an empty alt attribute (alt="")?,,,
Points,0,,,
Difficulty,1,,,
InputBox,3,80,,
Answer,100,(decorative|purely decorative|redundant|no (information|informational) value),regexp,
Hint,Think images that convey no information.,,,
Feedback,Use empty alt for decorative or redundant images so screen readers skip them.,,,

NewQuestion,SA,,,
ID,WRIT40363-B2-018,,,
Title,Benefit of max-width,,,
QuestionText,Give one benefit of using max-width with centered content for text blocks.,,,
Points,0,,,
Difficulty,1,,,
InputBox,3,80,,
Answer,100,(readab|line length|measure|comfort|legibil),regexp,
Hint,Consider readability and comfortable line length.,,,
Feedback,Limiting measure improves readability and user comfort.,,,

NewQuestion,SA,,,
ID,WRIT40363-B2-019,,,
Title,Purpose of main,,,
QuestionText,What does the <main> element represent on a page?,,,
Points,0,,,
Difficulty,1,,,
InputBox,3,80,,
Answer,100,(dominant|primary|main|central).*content,regexp,
Hint,It should contain the central content unique to the page.,,,
Feedback,Main holds the primary content unique to the document.,,,

NewQuestion,SA,,,
ID,WRIT40363-B2-020,,,
Title,Why avoid "click here",,,
QuestionText,Why should you avoid non-descriptive link text like "click here"?,,,
Points,0,,,
Difficulty,1,,,
InputBox,3,80,,
Answer,100,(non-?descript|accessibil|screen reader|context).*link,regexp,
Hint,Think accessibility and understanding out of context.,,,
Feedback,Non-descriptive links hurt accessibility; text should describe the target.,,,
